ID.Symbol	ID.Description	ID.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B
17315514	Hoxc8	homeobox C8	ENSMUSG00000001657	3.47099120229016	6.86100919080345	7.71255968436191	6.07962705029397e-05	0.010950593302252	2.36966211828292
17315519	Hoxc6	homeobox C6	ENSMUSG00000001661	3.20795165056561	6.09843730719992	6.30709672537542	0.000243645074373594	0.0168433786146081	1.00498020582625
17211305	Pi15	peptidase inhibitor 15	ENSMUSG00000067780	2.83983244658855	6.01074180920181	10.2309175687023	7.84751538291596e-06	0.00662728807846365	4.27715801660103
17332695	Tiam2	T cell lymphoma invasion and metastasis 2	ENSMUSG00000023800	2.77810535010681	6.18849175814813	17.643422591128	1.25555772803864e-07	0.000907893793144744	7.5120771045535
17236800	Dcn	decorin	ENSMUSG00000019929	2.43581352800446	5.26090995568439	3.71691532464868	0.00603163917318989	0.0701967063042165	-2.25376778929218
17546316	Eif2s3y	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	ENSMUSG00000069049	2.43334578887807	7.01491799586681	2.36118951794162	0.0462610495480773	0.203269383805234	-4.29784892410383
17322985	Shisa9	shisa family member 9	ENSMUSG00000022494	2.42896166061748	7.88935503617708	18.7749482234024	7.76351389155917e-08	0.000842069534247965	7.81868981171191
17418945	Fndc5	fibronectin type III domain containing 5	ENSMUSG00000001334	2.38246222601087	8.04868977606432	4.59614521033636	0.00182352612755668	0.0395589282550624	-1.03194758782207
17445922	Reln	reelin	ENSMUSG00000042453	2.32248762842221	6.04477712571848	8.8338705891377	2.3007442542786e-05	0.00871532252691216	3.29364085552391
17310637	Fam134b	family with sequence similarity 134, member B	ENSMUSG00000022270	2.30557190924038	7.96334915569814	4.2087070332123	0.00304618374488752	0.0504819434513713	-1.55618309082099
17339223	Lama1	laminin, alpha 1	ENSMUSG00000032796	2.22932326857008	6.43884110530444	8.48870696702994	3.06805866974049e-05	0.00938150678617725	3.02314319635399
17499100	Sox1	SRY (sex determining region Y)-box 1	ENSMUSG00000096014	2.22495618744087	6.09855072475846	10.2858200134052	7.54267785387939e-06	0.00662728807846365	4.3124819941931
17429632	Mfsd2a	major facilitator superfamily domain containing 2A	ENSMUSG00000028655	2.21053585090621	7.41813891715781	5.61406495448835	0.000525162583760918	0.0228766871297039	0.23350454704048
17287081	Id4	inhibitor of DNA binding 4	ENSMUSG00000021379	2.18435546123814	7.9080897652752	11.2595142247082	3.84669542758378e-06	0.00641895107004423	4.90194376933174
17229988	Cadm3	cell adhesion molecule 3	ENSMUSG00000005338	2.17318172158177	7.2562362219409	8.73502533958667	2.49599013904984e-05	0.00892514644100421	3.21737789430617
17351587	Mc5r	melanocortin 5 receptor	ENSMUSG00000007480	2.16625987982213	7.32023483177656	4.09406692775945	0.00356075987831542	0.0539033943058594	-1.71568737096023
17345830	Daam2	dishevelled associated activator of morphogenesis 2	ENSMUSG00000040260	2.10404077470765	7.36991763995273	6.2025974521969	0.000272514375878354	0.0173236871385248	0.893097170057833
17317533	Adcy8	adenylate cyclase 8	ENSMUSG00000022376	2.08839904515664	6.75223781498874	5.16596384480129	0.000892244680873741	0.029452809615446	-0.303630690671445
17507708	Csmd1	CUB and Sushi multiple domains 1	ENSMUSG00000060924	2.08274542764112	6.33725043871242	6.50446332209089	0.000197898291778787	0.0155216320676927	1.21214018464941
17337796	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	ENSMUSG00000023913	2.00962452449466	9.06730342868002	5.83724253943951	0.000407380287942257	0.0208454374759218	0.489627430056309
17387305	Frzb	frizzled-related protein	ENSMUSG00000027004	1.94754662962071	8.30138529914093	3.65953174181265	0.00654690436151077	0.0729227223348846	-2.33732454591702
