	A543S1.R1.fastq.gz	A543S2.R1.fastq.gz	A543S3.R1.fastq.gz	A543S4.R1.fastq.gz	A543S5.R1.fastq.gz	A543S6.R1.fastq.gz
mmu-mir-5099-3p	3815884	1470286	567495	816454	830371	772696
mmu-mir-21a-5p	438563	561360	675004	1255523	77695	195003
mmu-mir-148a-3p	327035	221795	185435	237768	354018	250563
mmu-mir-302b-3p	198894	117653	134081	112897	21426	50441
mmu-mir-293-3p	179508	182170	129206	181503	127186	131705
mmu-mir-677-5p	152085	80212	60719	74813	50057	40790
mmu-mir-127-3p	109931	89273	63794	120007	99884	110474
mmu-mir-182-5p	106418	80720	62752	116571	70676	88418
mmu-mir-381-3p	96963	56059	61144	116139	83608	78831
mmu-mir-293-5p	93852	105139	59734	104746	66140	57599
mmu-mir-7a-1-5p	85828	65875	43243	68046	72375	76159
mmu-mir-302a-5p	78203	53287	55953	56882	11838	25212
mmu-mir-27b-3p	39887	39009	37363	65532	29154	29627
mmu-mir-295-3p	46498	52524	43493	64718	34635	39865
mmu-mir-302d-3p	64406	37309	50378	48470	9247	21479
mmu-mir-183-5p	48750	39556	34452	62200	37277	48346
mmu-mir-291a-3p	53746	51598	55374	61886	48359	40343
mmu-mir-99b-5p	46298	26028	32506	57793	12981	16189
mmu-mir-92a-1-3p	45111	42028	41063	55832	35002	47611
mmu-mir-541-5p	47961	36879	31267	55518	34380	36242
mmu-mir-379-5p	44122	34056	30493	52483	36131	30683
mmu-mir-434-5p	47042	31581	25096	37819	29680	28033
mmu-mir-292a-3p	32761	38129	27306	32461	20569	25234
mmu-mir-302a-3p	37452	21913	30304	26370	4980	10658
mmu-mir-5121-3p	36888	15300	18843	22278	21032	19045
mmu-mir-363-3p	36670	19519	20329	22410	29824	30314
mmu-mir-25-3p	32145	23601	25008	36003	21445	23770
mmu-mir-20a-5p	24083	18276	21133	29797	20032	19585
mmu-mir-294-3p	22818	26529	25557	29280	14607	19091
mmu-mir-467a-2-5p	13768	28498	16732	28313	19665	17501
mmu-mir-9-3-5p	28424	8928	10725	17900	9442	14521
mmu-mir-200b-3p	18852	24484	12319	26867	13203	13704
mmu-mir-26a-2-5p	18515	17073	16983	24217	15945	18944
mmu-mir-300-3p	18771	13387	11660	23616	16035	16516
mmu-mir-677-3p	23188	11046	7815	10514	7313	5653
mmu-mir-96-5p	15549	9997	12960	20599	12829	15517
mmu-mir-370-3p	17400	14363	12684	20212	17722	19378
mmu-mir-30a-5p	15127	12413	11960	20134	10280	11222
