	new2/mouse_sc11.lane.clean.processed.fa.gz	new2/mouse_sc12.lane.clean.processed.fa.gz	new2/mouse_sc21.lane.clean.processed.fa.gz	new2/mouse_sc22.lane.clean.processed.fa.gz	new2/mouse_sc31.lane.clean.processed.fa.gz	new2/mouse_sc32.lane.clean.processed.fa.gz	new2/mouse_wt11.lane.clean.processed.fa.gz	new2/mouse_wt12.lane.clean.processed.fa.gz	new2/mouse_wt21.lane.clean.processed.fa.gz	new2/mouse_wt22.lane.clean.processed.fa.gz	new2/mouse_wt31.lane.clean.processed.fa.gz	new2/mouse_wt32.lane.clean.processed.fa.gz
mmu-mir-21a-5p	278668	280045	38762	38514	97264	96702	217397	218628	334835	336715	624135	625531
mmu-mir-148a-3p	110544	110401	176597	175996	124847	124756	162703	162976	91963	92710	117828	119052
mmu-mir-302b-3p	58481	58292	10532	10726	24854	25222	98562	98801	66635	66459	55970	56070
mmu-mir-293-3p	89823	89585	62657	62819	64653	65161	88616	88365	63669	63795	90395	88827
mmu-mir-127-3p	44162	44319	49320	49840	54867	54824	54337	54636	31339	31856	59596	59446
mmu-mir-381-3p	27942	27948	41520	41802	39032	39550	48173	48399	30557	30384	57654	58104
mmu-mir-182-5p	39769	39668	34573	34675	43383	43551	52513	52274	30873	30878	57429	57093
mmu-mir-293-5p	51546	51682	32693	32580	28341	28476	46133	45869	29328	29522	51607	51924
mmu-mir-7a-1-5p	32151	31876	35428	35064	36952	37341	41840	41619	20852	21124	33163	33019
mmu-mir-302a-5p	26391	26638	5858	5902	12569	12510	39077	38685	27801	27853	28311	28358
mmu-mir-27b-3p	19323	19552	14462	14568	14783	14733	19662	20014	18502	18729	32154	33132
mmu-mir-295-3p	25912	26127	17201	17194	19759	19812	23088	22963	21527	21579	32071	32163
mmu-mir-302d-3p	18474	18509	4531	4640	10648	10658	31886	31935	25074	24893	24175	23954
mmu-mir-183-5p	19751	19630	18557	18543	23990	24147	24290	24204	16884	17416	30855	31075
mmu-mir-291a-3p	25631	25595	23964	24087	20057	20050	26734	26628	27554	27437	30704	30735
mmu-mir-99b-5p	13008	12854	6448	6440	8023	8073	22736	23286	16090	16200	28652	28828
mmu-mir-92a-1-3p	20675	20804	17325	17140	23240	23634	22032	22255	19778	20101	27314	27134
mmu-mir-379-5p	17062	16864	18050	17914	15296	15264	21939	21960	15184	15160	25934	26318
mmu-mir-541-5p	17407	17682	15673	15634	16839	16609	22655	22915	14531	14712	25701	25754
mmu-mir-5099-3p	21217	21628	13037	13069	11923	11772	25247	25399	14443	14766	16618	16683
mmu-mir-434-5p	15662	15804	14790	14776	13945	13967	23281	23524	12422	12595	18737	18913
mmu-mir-292a-3p	18973	18876	10169	10210	12508	12533	16242	16194	13496	13622	16207	16033
mmu-mir-363-3p	9675	9759	14794	14900	15125	15079	18304	18201	10142	10091	11057	11262
mmu-mir-25-3p	11635	11840	10720	10595	11756	11910	16071	15867	12512	12342	17807	18020
mmu-mir-302a-3p	9931	9973	2211	2177	4911	5117	16997	17193	14473	14895	12796	12764
mmu-mir-20a-5p	9106	9002	9987	9870	9785	9630	11912	11935	10518	10427	14774	14763
mmu-mir-294-3p	13153	13192	7357	7144	9455	9530	11211	11423	12714	12653	14502	14630
mmu-mir-467a-2-5p	14151	13948	9763	9688	8598	8654	6825	6775	8162	8318	14033	13916
mmu-mir-9-3-5p	4467	4414	4685	4699	7194	7262	14130	14108	5273	5400	8941	8864
mmu-mir-200b-3p	12200	12189	6594	6546	6855	6794	9399	9348	6197	6067	13471	13301
