	S1	S2	S3	S4	S5	S6
mmu-mir-21a-5p	436025	558713	671550	1249666	77276	193966
mmu-mir-148a-3p	325679	220945	184673	236880	352593	249603
mmu-mir-302b-3p	197363	116773	133094	112040	21258	50076
mmu-mir-293-3p	176981	179408	127464	179222	125476	129814
mmu-mir-127-3p	108973	88481	63195	119042	99160	109691
mmu-mir-381-3p	96572	55890	60941	115758	83322	78582
mmu-mir-182-5p	104787	79437	61751	114522	69248	86934
mmu-mir-293-5p	92002	103228	58850	103531	65273	56817
mmu-mir-7a-1-5p	83459	64027	41976	66182	70492	74293
mmu-mir-302a-5p	77762	53029	55654	56669	11760	25079
mmu-mir-27b-3p	39676	38875	37231	65286	29030	29516
mmu-mir-295-3p	46051	52039	43106	64234	34395	39571
mmu-mir-302d-3p	63821	36983	49967	48129	9171	21306
mmu-mir-183-5p	48494	39381	34300	61930	37100	48137
mmu-mir-291a-3p	53362	51226	54991	61439	48051	40107
mmu-mir-99b-5p	46022	25862	32290	57480	12888	16096
mmu-mir-92a-1-3p	44287	41479	39879	54448	34465	46874
mmu-mir-379-5p	43899	33926	30344	52252	35964	30560
mmu-mir-541-5p	45570	35089	29243	51455	31307	33448
mmu-mir-5099-3p	50646	42845	29209	33301	26106	23695
mmu-mir-434-5p	46805	31466	25017	37650	29566	27912
mmu-mir-292a-3p	32436	37849	27118	32240	20379	25041
mmu-mir-363-3p	36505	19434	20233	22319	29694	30204
mmu-mir-25-3p	31938	23475	24854	35827	21315	23666
mmu-mir-302a-3p	34190	19904	29368	25560	4388	10028
mmu-mir-20a-5p	23847	18108	20945	29537	19857	19415
mmu-mir-294-3p	22634	26345	25367	29132	14501	18985
mmu-mir-467a-2-5p	13600	28099	16480	27949	19451	17252
mmu-mir-9-3-5p	28238	8881	10673	17805	9384	14456
mmu-mir-200b-3p	18747	24389	12264	26772	13140	13649
mmu-mir-26a-2-5p	18391	16959	16865	24083	15856	18834
mmu-mir-300-3p	18680	13331	11607	23533	15957	16439
mmu-mir-96-5p	15469	9953	12884	20492	12760	15452
mmu-mir-370-3p	17303	14285	12609	20082	17632	19271
mmu-mir-30a-5p	14941	12265	11843	19930	10164	11103
mmu-mir-411-5p	14896	12045	11978	19362	11568	12747
mmu-mir-20b-5p	17418	11712	10151	11006	18672	17303
mmu-mir-409-3p	18399	13991	10077	18435	12649	14662
