mt1	mt2	wt2	wt3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-mir-615-3p	5054.37765090491	9064.78679582411	192.486231805062	127.659179256392	3609.82746444762	-5.17704902108665	0.571410133263373	-9.06012812814515	1.30297410263664e-19	9.55080017232658e-17
mmu-mir-214-3p	263.100247742307	359.213789927674	2396.85920830057	2426.8404798844	1361.50343146374	2.85996125729045	0.458169498931142	6.24214676874481	4.31605666788384e-10	1.58183476877943e-07
mmu-mir-199a-1-5p	5077.35929905108	2672.65782505889	35061.2564990208	35328.6908036967	19534.9911067069	3.03511089145338	0.543350828147634	5.5859138041632	2.32474526600174e-08	5.54062665936029e-06
mmu-mir-708-5p	694.996738765069	415.508488349175	60.474601563276	36.8500723626698	301.957475260047	-3.30486694888611	0.596539009509885	-5.54006845520693	3.02353432980098e-08	5.54062665936029e-06
mmu-mir-10b-5p	924558.044685237	832003.47427069	166413.566084738	187622.143434533	527649.3071188	-2.2491644643678	0.41616312941774	-5.40452602688431	6.49799881821449e-08	9.52606626750244e-06
mmu-mir-214-5p	129.965182619694	163.522695414837	643.09576296557	1089.70928272466	506.573230931191	2.44371979554352	0.543325052896746	4.49771234091782	6.86885460196716e-06	0.000839145070540321
mmu-mir-204-5p	101.436240093419	83.1016976698351	479.371841660115	2179.41856544933	710.832086218174	3.44760629388677	0.785584253346019	4.38858884862123	1.14088524444233e-05	0.00119466983453747
mmu-mir-10a-5p	1398888.96030396	1615192.74326013	438448.236285161	296343.017644539	937218.239373445	-1.96408983437624	0.477740089346237	-4.11121000346443	3.93591004624157e-05	0.00320558007099452
mmu-mir-708-3p	1409.80524317338	924.841474067519	275.085687598804	261.898728577546	717.907783354313	-2.03967159369316	0.494620690359099	-4.1237085982237	3.72820508412127e-05	0.00320558007099452
mmu-mir-182-5p	2653.1916549435	258.687542746422	254282.424661037	7408.18061890958	66150.6211194092	4.60172390181919	1.13985297965271	4.03712056200551	5.41112642885028e-05	0.00389213665399151
mmu-mir-96-5p	136.304947625532	21.4455993986671	11423.06223919	310.593467056788	2972.85156331775	4.51259176625744	1.12277280394417	4.01914951128603	5.84085991731331e-05	0.00389213665399151
mmu-mir-219-2-3p	4364.13573589422	3921.86399003125	148.974018485143	665.933450553961	2275.22679874114	-3.01769649622291	0.76854372901341	-3.926512418619	8.61864444144994e-05	0.00485958951967908
mmu-mir-135a-2-5p	3117.57944162119	3375.00120536524	213.873590894513	658.037006476246	1841.1228110893	-2.68054097985218	0.680274195100603	-3.94038315602397	8.1351567899458e-05	0.00485958951967908
