	A543S7.R1.fastq.gz	A543S8.R1.fastq.gz	A543S9.R1.fastq.gz	A543S10.R1.fastq.gz
dre-mir-10b-2-5p	1957833	620344	493485	438402
dre-mir-206-2-3p	1648020	434606	345423	326009
dre-mir-10a-5p	935561	289856	264400	216215
dre-mir-430a-15-3p	880257	301324	252876	364111
dre-mir-203b-3p	728382	234661	164658	149835
dre-mir-203a-3p	557712	172217	123026	106899
dre-mir-200b-3p	538996	178001	138169	126648
dre-mir-92a-1-3p	474243	133439	133202	126672
dre-mir-20a-5p	452346	156747	98896	123824
dre-mir-22a-3p	449791	128145	132514	108132
dre-mir-1-2-3p	405672	123600	124995	52778
dre-mir-21-2-5p	384532	166900	113630	112697
dre-mir-10d-5p	355733	119335	111891	87866
dre-mir-10c-5p	346117	109808	99549	86503
dre-mir-9-6-5p	277664	82069	72094	46711
dre-mir-184-1-3p	265861	80952	68426	59849
dre-mir-100-2-5p	252963	71140	77899	48852
dre-mir-430b-13-3p	222979	81164	61363	84595
dre-mir-25-3p	199421	67302	46045	45746
dre-mir-363-3p	186855	67019	54650	46469
dre-mir-30c-5p	167692	54263	43417	36476
dre-mir-222a-3p	152080	39920	33723	34922
dre-mir-30d-5p	139942	41399	37946	27760
dre-mir-725-1-3p	137166	38027	36737	32419
dre-mir-17a-2-5p	132890	49391	34584	45279
dre-mir-219-2-3p	131866	41182	29878	29940
dre-mir-27b-3p	125876	45826	40248	34780
dre-mir-182-5p	112910	36863	24076	19812
dre-mir-183-5p	105591	30065	29122	20923
dre-mir-221-3p	103713	31889	27057	29788
dre-mir-430b-13-5p	100153	29108	29362	32566
dre-mir-7b-5p	94631	24418	29023	26736
dre-mir-141-3p	91552	28643	21900	18280
dre-mir-126a-3p	85839	27787	20926	19152
dre-mir-128-1-3p	84341	22544	17341	14852
dre-mir-205-5p	80872	27033	22401	20527
dre-mir-26a-2-5p	79735	24091	24267	21759
dre-mir-199-2-5p	79428	29129	29091	21919
dre-mir-454b-3p	77036	27003	21717	17631
dre-mir-152-3p	76045	22489	28813	24352
dre-mir-200a-3p	75632	28350	22348	25039
dre-mir-20b-5p	75369	28103	19052	22306
dre-mir-199-2-3p	75088	26648	20120	17712
dre-mir-222a-5p	67867	22459	15550	19168
dre-mir-148-3p	67558	20225	23344	22594
dre-mir-200a-5p	66963	22656	16461	14387
dre-mir-92b-3p	66573	22291	17223	16683
dre-mir-30e-2-3p	58626	17556	13372	10468
dre-mir-19b-3p	57403	24228	12803	17463
dre-mir-18c-5p	54513	18655	14440	15551
dre-mir-7a-1-5p	53934	14460	15194	7953
dre-mir-93-5p	51065	19023	10660	14381
dre-mir-143-1-3p	50770	14442	16233	9806
dre-mir-130b-5p	48742	12806	12522	9187
dre-mir-181a-2-3p	39956	14069	8528	7996
dre-mir-206-1-3p	37634	10192	11176	8092
dre-mir-200c-3p	36943	12505	10290	8861
dre-mir-204-2-5p	36763	11884	10327	6776
dre-mir-218a-2-5p	36270	13670	11746	10348
dre-mir-99-2-5p	35336	13411	10450	6081
dre-mir-430c-5-3p	34782	12365	7460	15692
