	new2/zfish_del11.lane.clean.processed.fa.gz	new2/zfish_del12.lane.clean.processed.fa.gz	new2/zfish_del21.lane.clean.processed.fa.gz	new2/zfish_del22.lane.clean.processed.fa.gz	new2/zfish_wt11.lane.clean.processed.fa.gz	new2/zfish_wt12.lane.clean.processed.fa.gz	new2/zfish_wt21.lane.clean.processed.fa.gz	new2/zfish_wt22.lane.clean.processed.fa.gz
dre-mir-10b-2-5p	970186	974186	217275	218376	307443	308865	245113	245291
dre-mir-206-2-3p	813998	818611	161773	161398	215781	214729	170550	171169
dre-mir-10a-5p	464369	464293	107534	107304	143964	143871	131231	131653
dre-mir-430a-15-3p	435299	435791	180324	180311	149389	148992	124881	125383
dre-mir-203b-3p	360148	360848	74404	74075	116204	116194	81462	81575
dre-mir-203a-3p	276424	275916	53360	52628	85574	85157	60617	61292
dre-mir-200b-3p	269047	267653	63370	62758	89303	88009	68878	68743
dre-mir-92a-1-3p	234269	236869	62929	62994	65951	66487	65786	66580
dre-mir-20a-5p	223567	224167	61525	61157	77859	77345	49038	48807
dre-mir-22a-3p	223760	223947	53637	54043	63570	63979	65945	66019
dre-mir-1-2-3p	200304	201042	26248	26076	61459	60856	61632	61952
dre-mir-21-2-5p	191240	190945	56016	56064	83148	82868	56167	56768
dre-mir-10d-5p	176111	177816	43820	43669	59363	59412	55613	55781
dre-mir-10c-5p	171570	171309	42994	42709	54500	54267	49525	49043
dre-mir-9-6-5p	137938	137890	23192	23194	40674	40882	35693	35960
dre-mir-184-1-3p	131891	131390	29703	29619	40272	39920	33829	33951
dre-mir-100-2-5p	125628	126230	24491	24137	35714	35128	38892	38651
dre-mir-430b-13-3p	108878	107935	41331	41368	39394	39581	29917	29808
dre-mir-25-3p	99099	98839	22810	22596	33560	33201	22973	22737
dre-mir-363-3p	93186	92638	22953	23286	33190	33498	27279	27107
dre-mir-30c-5p	83547	83355	18180	18105	27043	26981	21392	21583
dre-mir-222a-3p	74742	74855	17276	17113	19646	19664	16602	16497
dre-mir-30d-5p	69576	69275	13740	13815	20476	20610	18902	18704
dre-mir-725-1-3p	68134	68094	16017	16196	18813	18938	18074	18416
dre-mir-17a-2-5p	65744	65836	22583	22274	24604	24340	17158	17049
dre-mir-219-2-3p	64452	64623	14738	14722	20336	19990	14711	14582
dre-mir-27b-3p	62536	62545	17374	17171	22929	22608	20093	19964
dre-mir-182-5p	55661	55610	9785	9682	18129	18246	11825	11846
dre-mir-183-5p	52431	52469	10489	10290	14924	14913	14405	14552
dre-mir-221-3p	51446	51419	14909	14670	15728	15912	13263	13603
dre-mir-430b-13-5p	49764	49699	16306	16049	14453	14477	14629	14554
dre-mir-7b-5p	47045	46711	13329	13198	12155	12054	14400	14420
dre-mir-141-3p	45593	45442	9148	9023	14096	14393	10728	11024
dre-mir-126a-3p	42651	42753	9582	9491	13784	13883	10453	10368
dre-mir-128-1-3p	40516	40584	6990	7037	10722	10789	8301	8379
dre-mir-205-5p	40098	39926	10216	10143	13457	13314	10981	11203
dre-mir-199-2-5p	39317	39767	10839	10996	14496	14509	14566	14424
dre-mir-26a-2-5p	39518	39599	10815	10795	11931	11955	12036	12079
dre-mir-454b-3p	38250	37981	8599	8844	13203	13483	10726	10758
dre-mir-152-3p	37629	37660	12049	12059	11045	11182	14270	14302
dre-mir-20b-5p	37310	37344	11045	11059	13765	14070	9471	9396
dre-mir-200a-3p	36714	36975	12291	12209	13930	13662	10899	10889
dre-mir-199-2-3p	36687	36845	8822	8567	13092	13036	9754	9938
dre-mir-148-3p	33642	33454	11100	11331	10124	9971	11518	11681
dre-mir-200a-5p	33344	33229	7185	7119	11188	11339	8140	8237
dre-mir-92b-3p	33028	33111	8208	8370	11082	11062	8575	8505
dre-mir-222a-5p	32738	32838	9352	9290	10956	10768	7287	7654
dre-mir-30e-2-3p	29205	28843	5044	5326	8700	8692	6538	6696
dre-mir-7a-1-5p	26935	26691	3924	3987	7179	7197	7491	7639
dre-mir-18c-5p	26669	26438	7541	7586	9137	9009	6953	7067
dre-mir-93-5p	25077	25271	7119	7072	9372	9403	5318	5174
dre-mir-143-1-3p	25188	25074	4937	4787	7133	7158	8032	8051
dre-mir-130b-5p	24139	24240	4590	4517	6285	6433	6171	6287
dre-mir-181a-2-3p	19779	19912	4020	3925	6949	7034	4336	4145
dre-mir-204-2-5p	18356	18115	3389	3343	5851	5941	5132	5114
dre-mir-200c-3p	18267	18325	4491	4281	6196	6163	5108	5073
dre-mir-206-1-3p	18012	18190	3859	3916	4829	4884	5352	5337
dre-mir-218a-2-5p	17903	17816	5114	5105	6642	6836	5799	5793
dre-mir-99-2-5p	17562	17453	2993	3041	6607	6699	5223	5129
dre-mir-430c-5-3p	16736	16624	7628	7521	5953	5883	3500	3623
dre-mir-140-3p	16230	16531	5863	5921	5350	5231	7014	7033
dre-mir-216b-5p	15229	14962	3712	3685	5368	5301	5904	5775
dre-mir-217-5p	14899	14789	3121	3228	5262	5178	4892	4916
dre-mir-429a-3p	14387	13961	4515	4394	5490	5647	3534	3547
dre-mir-196b-5p	14024	13937	4424	4329	4551	4619	3471	3404
dre-mir-135b-5p	13749	13754	2966	2897	4074	4008	2886	2800
dre-mir-92a-1-5p	13433	13595	3137	3249	4661	4564	3361	3233
dre-mir-144-5p	13285	13198	1897	1875	4278	4226	2222	2325
dre-mir-181a-1-3p	13182	13014	3376	3432	4476	4510	3306	3291
dre-mir-196a-1-5p	12994	12965	3897	3975	4412	4291	3265	3143
dre-mir-146a-5p	12333	12495	1972	2001	5690	5612	4502	4519
dre-mir-30e-2-5p	12158	12032	3732	3675	3926	4018	3742	3732
dre-mir-133a-2-3p	11923	11929	2924	2841	3492	3631	3893	3939
dre-mir-301b-5p	11441	11110	2958	2940	3152	3122	2203	2190
dre-mir-9-4-3p	9311	9314	1094	1139	3186	3253	3236	3258
dre-mir-16c-5p	8940	9138	3011	2945	3435	3395	2453	2488
dre-mir-301c-5p	8845	9029	2191	2169	2618	2716	1888	1875
dre-mir-10a-3p	8877	8879	2199	2269	2728	2785	2740	2820
dre-mir-192-5p	8552	8710	2009	1994	3125	3041	2098	2271
dre-mir-375-1-3p	8358	8377	1230	1204	2466	2492	1935	1868
dre-mir-103-3p	8117	8327	2128	2192	2857	2946	2196	2275
dre-mir-181b-2-5p	8301	8263	2236	2118	3018	2988	2178	2248
dre-mir-19b-3p	8215	8026	2913	3073	2932	2969	2371	2356
dre-mir-181a-2-5p	7787	8036	2090	2112	3013	2837	2700	2677
dre-mir-456-3p	8005	7936	2152	2204	2552	2484	2176	2175
dre-mir-221-5p	7812	7879	2447	2460	2343	2311	2024	1986
dre-mir-10b-1-5p	7515	7632	1699	1682	2302	2262	1686	1656
dre-mir-19d-3p	6680	6777	2542	2600	2259	2327	1928	1782
dre-mir-21-1-5p	6512	6537	1539	1450	2630	2496	1602	1568
dre-mir-219-3-3p	5893	6053	1483	1423	2066	2004	1536	1582
dre-mir-124-2-5p	5997	5914	1642	1540	2041	2030	1339	1262
dre-mir-16b-5p	5924	5980	1756	1754	2116	2144	1701	1623
dre-mir-133a-2-5p	5948	5892	1234	1214	2247	2173	1624	1460
dre-mir-16c-3p	5904	5852	1342	1372	1835	1852	1391	1360
dre-mir-2189-3p	5607	5788	676	659	3880	3790	580	590
dre-mir-30a-5p	5706	5648	1809	1819	2365	2295	2438	2508
dre-mir-7a-3-5p	5569	5459	1036	1056	1309	1235	1678	1698
dre-mir-135b-3p	5391	5343	1462	1500	1838	1835	1280	1266
dre-mir-17a-1-3p	4917	4980	1632	1550	1976	2015	1318	1347
dre-mir-100-2-3p	4882	4970	1089	1119	1860	1892	1255	1260
dre-mir-458-3p	4829	4916	963	987	1522	1484	1463	1372
