	S7	S8	S9	S10
dre-mir-10b-2-5p	1944372	616308	490404	435651
dre-mir-206-2-3p	1632609	430510	341719	323171
dre-mir-10a-5p	928662	287835	262884	214838
dre-mir-430a-15-3p	871090	298381	250264	360635
dre-mir-203b-3p	720996	232398	163037	148479
dre-mir-203a-3p	552340	170731	121909	105988
dre-mir-200b-3p	536700	177312	137621	126128
dre-mir-92a-1-3p	471138	132438	132366	125923
dre-mir-20a-5p	447734	155204	97845	122682
dre-mir-22a-3p	447707	127549	131964	107680
dre-mir-1-2-3p	401346	122315	123584	52324
dre-mir-21-2-5p	382185	166016	112935	112080
dre-mir-10d-5p	353927	118775	111394	87489
dre-mir-10c-5p	342879	108767	98568	85703
dre-mir-9-6-5p	275828	81556	71653	46386
dre-mir-184-1-3p	263281	80192	67780	59322
dre-mir-100-2-5p	251858	70842	77543	48628
dre-mir-430b-13-3p	216813	78975	59725	82699
dre-mir-25-3p	197938	66761	45710	45406
dre-mir-363-3p	185824	66688	54386	46239
dre-mir-30c-5p	166902	54024	42975	36285
dre-mir-222a-3p	149597	39310	33099	34389
dre-mir-30d-5p	138851	41086	37606	27555
dre-mir-725-1-3p	136228	37751	36490	32213
dre-mir-17a-2-5p	131580	48944	34207	44857
dre-mir-219-2-3p	129075	40326	29293	29460
dre-mir-27b-3p	125081	45537	40057	34545
dre-mir-182-5p	111271	36375	23671	19467
dre-mir-183-5p	104900	29837	28957	20779
dre-mir-221-3p	102865	31640	26866	29579
dre-mir-430b-13-5p	99463	28930	29183	32355
dre-mir-7b-5p	93756	24209	28820	26527
dre-mir-141-3p	91035	28489	21752	18171
dre-mir-126a-3p	85404	27667	20821	19073
dre-mir-128-1-3p	81100	21511	16680	14027
dre-mir-205-5p	80024	26771	22184	20359
dre-mir-199-2-5p	79084	29005	28990	21835
dre-mir-26a-2-5p	79117	23886	24115	21610
dre-mir-454b-3p	76231	26686	21484	17443
dre-mir-152-3p	75289	22227	28572	24108
dre-mir-20b-5p	74654	27835	18867	22104
dre-mir-200a-3p	73689	27592	21788	24500
dre-mir-199-2-3p	73532	26128	19692	17389
dre-mir-148-3p	67096	20095	23199	22431
dre-mir-200a-5p	66573	22527	16377	14304
dre-mir-92b-3p	66139	22144	17080	16578
dre-mir-222a-5p	65576	21724	14941	18642
dre-mir-30e-2-3p	58048	17392	13234	10370
dre-mir-7a-1-5p	53626	14376	15130	7911
dre-mir-18c-5p	53107	18146	14020	15127
dre-mir-93-5p	50348	18775	10492	14191
dre-mir-143-1-3p	50262	14291	16083	9724
dre-mir-130b-5p	48379	12718	12458	9107
dre-mir-181a-2-3p	39691	13983	8481	7945
dre-mir-204-2-5p	36471	11792	10246	6732
dre-mir-200c-3p	36592	12359	10181	8772
dre-mir-206-1-3p	36202	9713	10689	7775
dre-mir-218a-2-5p	35719	13478	11592	10219
dre-mir-99-2-5p	35015	13306	10352	6034
dre-mir-430c-5-3p	33360	11836	7123	15149
dre-mir-140-3p	32761	10581	14047	11784
dre-mir-216b-5p	30191	10669	11679	7397
dre-mir-217-5p	29688	10440	9808	6349
dre-mir-429a-3p	28348	11137	7081	8909
dre-mir-196b-5p	27961	9170	6875	8753
dre-mir-135b-5p	27503	8082	5686	5863
dre-mir-92a-1-5p	27028	9225	6594	6386
dre-mir-144-5p	26483	8504	4547	3772
dre-mir-181a-1-3p	26196	8986	6597	6808
dre-mir-196a-1-5p	25959	8703	6408	7872
dre-mir-146a-5p	24828	11302	9021	3973
dre-mir-30e-2-5p	24190	7944	7474	7407
dre-mir-133a-2-3p	23852	7123	7832	5765
dre-mir-301b-5p	22551	6274	4393	5898
dre-mir-9-4-3p	18625	6439	6494	2233
dre-mir-16c-5p	18078	6830	4941	5956
dre-mir-301c-5p	17874	5334	3763	4360
dre-mir-10a-3p	17756	5513	5560	4468
dre-mir-192-5p	17262	6166	4369	4003
dre-mir-375-1-3p	16735	4958	3803	2434
dre-mir-103-3p	16444	5803	4471	4320
dre-mir-181b-2-5p	16564	6006	4426	4354
dre-mir-19b-3p	16241	5901	4727	5986
dre-mir-181a-2-5p	15823	5850	5377	4202
dre-mir-456-3p	15941	5036	4351	4356
dre-mir-221-5p	15691	4654	4010	4907
dre-mir-10b-1-5p	15147	4564	3342	3381
dre-mir-19d-3p	13457	4586	3710	5142
dre-mir-21-1-5p	13049	5126	3170	2989
dre-mir-219-3-3p	11946	4070	3118	2906
dre-mir-124-2-5p	11911	4071	2601	3182
dre-mir-16b-5p	11904	4260	3324	3510
dre-mir-133a-2-5p	11840	4420	3084	2448
dre-mir-16c-3p	11756	3687	2751	2714
dre-mir-2189-3p	11395	7670	1170	1335
dre-mir-30a-5p	11354	4660	4946	3628
dre-mir-7a-3-5p	11028	2544	3376	2092
dre-mir-135b-3p	10734	3673	2546	2962
dre-mir-17a-1-3p	9897	3991	2665	3182
dre-mir-100-2-3p	9852	3752	2515	2208
dre-mir-458-3p	9745	3006	2835	1950
dre-mir-722-3p	9792	3007	1890	1554
dre-mir-181c-5p	9556	3221	2941	2322
dre-mir-96-5p	9658	3738	2374	2603
dre-mir-499-5p	9516	2819	3040	2271
dre-mir-363-5p	9407	2675	1677	2147
dre-mir-454a-3p	9104	3114	2210	2287
dre-mir-30d-3p	9171	2923	2126	2069
dre-let-7g-1-5p	8959	2596	1643	1694
dre-mir-140-5p	8566	2837	2659	2442
dre-mir-19c-3p	8469	3375	2475	3289
dre-mir-26a-1-3p	8039	2765	1587	1691
dre-mir-24-1-3p	7931	3010	2467	2044
dre-mir-196c-5p	7704	2434	1413	2085
dre-mir-7146-5p	7521	3125	2265	3245
dre-mir-9-6-3p	7344	2914	2192	2035
dre-mir-430a-15-5p	7379	2338	2759	2830
dre-mir-153b-3p	7168	2887	3164	2413
dre-mir-146b-5p	6579	3231	1412	972
dre-let-7a-5-5p	6124	1921	1344	1180
dre-mir-23b-3p	6047	2216	1988	1729
dre-mir-206-2-5p	5926	2011	1336	1613
dre-mir-139-5p	5947	2078	1998	1252
dre-mir-30b-5p	5848	2059	1430	1836
dre-mir-193b-5p	5756	1926	1350	1254
dre-mir-125b-3-5p	5716	1899	2236	1366
dre-mir-19a-3p	5629	1975	1689	2113
dre-mir-27a-5p	5449	2188	1223	1367
dre-mir-130c-1-5p	5399	1669	1334	1423
dre-mir-30a-3p	5154	1701	1318	1104
dre-mir-9-7-3p	5025	1788	2534	842
dre-mir-133b-3p	4901	1569	1196	1642
dre-mir-125b-1-3p	4896	1427	1025	803
dre-mir-2188-3p	4835	1932	1194	756
dre-mir-735-5p	4880	1379	1244	965
dre-mir-27c-2-3p	4653	1698	1475	1255
dre-mir-15c-5p	4596	1650	1106	1175
dre-mir-206-1-5p	4391	1603	1125	1479
dre-let-7e-5p	4502	1702	511	394
dre-mir-16a-3p	4301	1265	1031	827
dre-mir-430a-8-5p	4089	1336	1894	3207
dre-mir-199-3-3p	4053	1336	1514	1044
dre-mir-18a-5p	4008	1483	1191	1421
dre-mir-26b-5p	3919	1422	1220	1145
dre-mir-196d-5p	4055	1288	996	1143
dre-mir-130b-3p	3857	1322	1148	1282
dre-mir-223-3p	3831	1327	1096	895
dre-mir-30c-3p	3857	1405	1216	960
dre-mir-196a-1-3p	3797	1334	1028	1144
dre-let-7i-5p	3715	989	806	821
dre-mir-101a-3p	3711	1532	1659	1317
dre-mir-16a-5p	3475	1223	883	1211
dre-mir-10b-2-3p	3341	1185	911	1069
dre-mir-10d-3p	3382	956	853	659
dre-mir-15b-3p	3395	1204	806	1042
dre-mir-724-5p	3274	797	969	514
dre-mir-126b-3p	3330	1262	982	1052
dre-mir-129-2-5p	3308	840	920	390
dre-mir-203b-5p	3320	1283	695	1008
dre-mir-125a-2-5p	3292	929	1380	593
dre-mir-725-1-5p	3246	956	820	652
dre-mir-133c-3p	3203	994	534	782
dre-mir-124-6-5p	3160	927	697	756
dre-mir-219-3-5p	3186	1304	842	1204
dre-mir-145-3p	3172	839	786	533
dre-mir-214-3p	3098	1054	1253	926
dre-mir-430c-5-5p	2736	1068	710	1084
dre-mir-128-1-5p	2626	807	756	589
dre-mir-10c-3p	2642	851	686	743
dre-mir-92b-5p	2462	702	630	817
dre-mir-23a-1-3p	2484	821	720	499
dre-mir-194a-5p	2477	887	669	802
dre-mir-125c-3p	2420	789	644	416
dre-mir-27c-2-5p	2301	710	583	679
dre-mir-148-5p	2260	774	747	768
dre-mir-25-5p	2187	761	423	510
dre-mir-99-2-3p	1598	2212	295	216
dre-mir-133c-5p	2097	675	413	564
dre-let-7c-2-5p	2027	652	519	343
dre-mir-27d-3p	2099	539	557	428
dre-mir-10b-1-3p	2046	557	485	499
dre-mir-7b-3p	2053	606	371	423
dre-mir-196b-3p	2054	737	640	777
dre-mir-457a-5p	1961	769	540	657
dre-mir-22a-5p	1930	612	404	415
dre-mir-99-1-5p	1893	575	603	422
