A543S7	A543S8	A543S9	A543S10	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
dre-let-7e-5p	1716.00251601886	1940.58437814529	762.764619848683	613.536710253973	1258.2220560667	1.13397452790947	0.183666072701712	6.17410995525087	6.6537224679729e-10	3.62627874504523e-07
dre-mir-2189-3p	4343.36931808861	8745.17166884511	1746.44736834239	2078.8616959113	4228.46251279685	1.17941402808126	0.218692531334241	5.39302380783497	6.92817687957276e-08	1.88792819968358e-05
dre-mir-430a-8-5p	1558.58158329656	1523.27892432556	2827.15497063289	4993.93966950378	2725.7387869397	-0.960623325393695	0.209374998915319	-4.58805172714158	4.47401794721422e-06	0.00081277992707725
dre-mir-738-5p	226.792869176193	288.465245399976	56.7222222196672	113.675583371929	171.413980041941	0.962189793184675	0.22635649581072	4.25077172951671	2.1303520447967e-05	0.00290260466103551
dre-let-7c-2-3p	224.505882260131	254.259880332785	128.371345023457	85.6459874720012	173.195773772094	0.784348584172426	0.216307401507194	3.62608296668174	0.000287752935716265	0.0313650699930729
dre-mir-140-3p	12487.329726187	12064.2322591982	20967.8172505175	18350.0421158193	15967.3553379305	-0.576354789652928	0.16653670252023	-3.46082743882188	0.00053851788438676	0.0489153744984641
dre-mir-430a-15-5p	2812.61274227081	2665.73811756974	4118.33187115952	4406.87535537752	3500.8895215944	-0.542711670749358	0.165335929707471	-3.28247871899095	0.00102898752201878	0.0801140285000338
dre-mir-144-5p	10094.3790830137	9696.08081771301	6787.26169560071	5873.75754080707	8112.86978428361	0.54422194459104	0.16828043261941	3.23401797891664	0.00122061771362531	0.0831545817407245
dre-mir-152-3p	28697.4929872377	25342.7549782817	42649.1403489561	37540.9721086365	33557.590105778	-0.478635660771884	0.16994648380363	-2.81639048987291	0.00485665969852846	0.264687953569801
dre-mir-733-5p	170.380525246653	115.158062392876	64.1856725117287	74.7455890664738	106.117462304433	0.643740808102378	0.225922323775695	2.84938999096659	0.00438031510174485	0.264687953569801
dre-mir-146b-5p	2507.68115346248	3683.91781773645	2107.67836247816	1513.59817859609	2453.2188780683	0.567816551473379	0.204914025269861	2.77099896273862	0.00558846048385013	0.276882814881666
dre-mir-148-3p	25574.6123533544	22911.89370084	34628.9166651068	34929.5480906265	29511.2427024819	-0.444537169945406	0.164012947479205	-2.71037852058459	0.00672064621293058	0.304217347486318
dre-mir-733-3p	17.5335663564788	17.1026825335954	1.4926900584123	1.5571997722182	9.42153468017618	0.497893645511973	0.185446641205625	2.6848350677859	0.00725656058224244	0.304217347486318
dre-mir-301a-3p	591.186117802145	505.099224158851	762.764619848683	836.216277681176	673.816559872713	-0.437179837591626	0.183073960283817	-2.38799574179677	0.0169405380632567	0.635632825133805
dre-mir-7146-3p	505.805272935813	532.463516212603	644.842105234112	973.249857636378	664.090188004726	-0.479079993223292	0.201620501446572	-2.37614721611158	0.017494481425701	0.635632825133805
dre-mir-101a-3p	1414.50140758463	1746.75397609788	2476.372806906	2050.83210001138	1922.11507264997	-0.41740118621071	0.184594147188011	-2.26118320959322	0.023747914390928	0.715205971403609
dre-mir-150-5p	355.245300961701	329.511683480605	462.733918107812	527.890722781971	418.845406333022	-0.421143122097107	0.187806834086793	-2.24242703491013	0.0249337861590249	0.715205971403609
dre-let-7a-1-3p	214.59560562386	160.765215815797	97.0248537967992	127.690381321893	150.019014139587	0.498811630353229	0.218924057256673	2.27846878321101	0.0226986623483825	0.715205971403609
dre-mir-190b-5p	52.9818635554469	60.4294782853704	16.4195906425353	32.7011952165823	40.6330319249837	0.531929296901668	0.231204441191753	2.30068805841192	0.021409269561587	0.715205971403609
dre-mir-722-3p	3732.36264701393	3428.51775856809	2821.18421039924	2419.88844602709	3100.48826550209	0.376021155952194	0.172530174504659	2.17945154829736	0.0292981402958099	0.759677199411891
