Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Hmga2	ENSMUST00000159699.1	high mobility group AT-hook 2 	10108	7	1	3	3	0	0	0	0	0	mmu-let-7d-5p	-2.59	-2.61	> 0.99	2005, 2007, 2009, 2011
Nr6a1	ENSMUST00000168098.2	nuclear receptor subfamily 6, group A, member 1 	1815	4	2	2	0	4	1	3	0	0	mmu-let-7d-5p	-2.09	-2.09	> 0.99	2005, 2007, 2009, 2011
Hif1an	ENSMUST00000040455.4	hypoxia-inducible factor 1, alpha subunit inhibitor 	1413	1	1	0	0	5	1	2	2	0	mmu-let-7d-5p	-2.06	-3.18	0.80	2005, 2007, 2009, 2011
Trim71	ENSMUST00000111816.2	tripartite motif-containing 71 	123	6	4	0	2	0	0	0	0	0	mmu-let-7d-5p	-1.78	-1.81	> 0.99	2007, 2009, 2011
Pald1	ENSMUST00000020289.8	phosphatase domain containing, paladin 1 	557	1	1	0	0	1	0	0	1	1	mmu-let-7d-5p	-1.70	-1.71	0.97	2007, 2009, 2011
Tet3	ENSMUST00000089622.5	tet methylcytosine dioxygenase 3 	1592	2	1	0	1	1	0	0	1	0	mmu-let-7d-5p	-1.62	-1.63	> 0.99	2011
Sec16b	ENSMUST00000086130.3	SEC16 homolog B (S. cerevisiae) 	833	1	1	0	0	1	0	1	0	0	mmu-let-7d-5p	-1.56	-1.57	0.16	2007, 2009, 2011
Arid3b	ENSMUST00000171444.2	AT rich interactive domain 3B (BRIGHT-like) 	253	3	0	1	2	2	0	0	2	0	mmu-let-7d-5p	-1.52	-1.53	> 0.99	2005, 2007, 2009, 2011
Zfp275	ENSMUST00000114499.2	zinc finger protein 275 	848	2	1	1	0	0	0	0	0	0	mmu-let-7i-5p	-1.52	-1.55	0.92	2009, 2011
Cacng4	ENSMUST00000021066.3	calcium channel, voltage-dependent, gamma subunit 4 	8	2	0	1	1	1	0	1	0	0	mmu-let-7d-5p	-1.38	-1.38	0.97	2005, 2007
