ID.Symbol	ID.Description	ID.Ensembl	logFC	AveExpr	t	P.Value	adj.P.Val	B
17315514	Hoxc8	homeobox C8	ENSMUSG00000001657	3.47099120229016	6.86100919080345	7.30805639335828	0.000151717748793174	0.0424105873271344	1.55175483185603
17315519	Hoxc6	homeobox C6	ENSMUSG00000001661	3.20795165056561	6.09843730719992	5.97623688665619	0.000528523462217088	0.0573562989698885	0.341188936269692
17211305	Pi15	peptidase inhibitor 15	ENSMUSG00000067780	2.83983244658855	6.01074180920181	9.69517725326475	2.40902143481711e-05	0.0239035351780539	3.22583132223517
17332695	Tiam2	T cell lymphoma invasion and metastasis 2	ENSMUSG00000023800	2.77810535010681	6.18849175814813	16.7244824509428	5.86134036112838e-07	0.00201947597692377	5.9873076535351
17236800	Dcn	decorin	ENSMUSG00000019929	2.43581352800446	5.26090995568439	3.52187350436675	0.00950030306125	0.160483576878944	-2.57765127545987
17546316	Eif2s3y	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	ENSMUSG00000069049	2.43334578887807	7.01491799586681	2.23725460895219	0.0598379724539227	0.336873770575631	-4.42109913022613
17322985	Shisa9	shisa family member 9	ENSMUSG00000022494	2.42896166061748	7.88935503617708	17.8008184085479	3.80089230430587e-07	0.00142861720292296	6.24247776662162
17418945	Fndc5	fibronectin type III domain containing 5	ENSMUSG00000001334	2.38246222601087	8.04868977606432	4.35503227020132	0.00323312004735287	0.105221106809861	-1.47962723092856
17445922	Reln	reelin	ENSMUSG00000042453	2.32248762842221	6.04477712571848	8.37142134352156	6.33139418938594e-05	0.0337689073309128	2.36616360922166
17310637	Fam134b	family with sequence similarity 134, member B	ENSMUSG00000022270	2.30557190924038	7.96334915569814	3.98790221772695	0.00513259204202153	0.126034016421863	-1.95030145347787
17339223	Lama1	laminin, alpha 1	ENSMUSG00000032796	2.22932326857008	6.43884110530444	8.04432962129161	8.20010375633725e-05	0.0362942852968054	2.12848382888047
17499100	Sox1	SRY (sex determining region Y)-box 1	ENSMUSG00000096014	2.22495618744087	6.09855072475846	9.74809067774166	2.32338008302257e-05	0.0239035351780539	3.25709059184863
17429632	Mfsd2a	major facilitator superfamily domain containing 2A	ENSMUSG00000028655	2.21053585090621	7.41813891715781	5.31970926906565	0.00105435919944085	0.0714630837719377	-0.346586874037534
17287081	Id4	inhibitor of DNA binding 4	ENSMUSG00000021379	2.18435546123814	7.9080897652752	10.6714822824651	1.26839090387443e-05	0.0197970796383698	3.76870112916569
17229988	Cadm3	cell adhesion molecule 3	ENSMUSG00000005338	2.17318172158177	7.2562362219409	8.27790196376549	6.81137077776681e-05	0.034781140141179	2.29931098699032
17351587	Mc5r	melanocortin 5 receptor	ENSMUSG00000007480	2.16625987982213	7.32023483177656	3.87928662984813	0.0059075030118967	0.132024709203713	-2.09362376240637
17345830	Daam2	dishevelled associated activator of morphogenesis 2	ENSMUSG00000040260	2.10404077470765	7.36991763995273	5.87752650525545	0.000584334903432328	0.0585986426553041	0.24187744235523
17317533	Adcy8	adenylate cyclase 8	ENSMUSG00000022376	2.08839904515664	6.75223781498874	4.89508537300097	0.00169870851415121	0.0848368866230456	-0.826858042067701
17507708	Csmd1	CUB and Sushi multiple domains 1	ENSMUSG00000060924	2.08274542764112	6.33725043871242	6.16364287053679	0.000438209508973785	0.0542448267919795	0.525890047677843
17244217	Rmst	rhabdomyosarcoma 2 associated transcript (non-coding RNA)	ENSMUSG00000097348	2.03802596729919	6.31671478851921	5.04595944079642	0.00142983132490668	0.0800673509607608	-0.65292775509131
17337796	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	ENSMUSG00000023913	2.00962452449466	9.06730342868002	5.53130424203264	0.000838912391715348	0.0667016016066752	-0.117816244812958
17387305	Frzb	frizzled-related protein	ENSMUSG00000027004	1.94754662962071	8.30138529914093	3.46754620945858	0.0102284688118958	0.164130094362366	-2.65279647475418
17550448	Rmst	rhabdomyosarcoma 2 associated transcript (non-coding RNA)	ENSMUSG00000097348	1.94528353726083	3.89352957883965	5.69629337732403	0.000704786612102257	0.0636231495139035	0.0558245112018385
17422443	Hes5	hairy and enhancer of split 5 (Drosophila)	ENSMUSG00000048001	1.94320361035183	9.08153449482633	2.93720355580428	0.0214814233749256	0.221359696337523	-3.40444663415541
17546797	Uty	ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome	ENSMUSG00000068457	1.94109980534211	6.5316165354504	1.96320283209546	0.0898589983260911	0.405661713584865	-4.81191640744568
17352862	Aqp4	aquaporin 4	ENSMUSG00000024411	1.92960438104986	7.36118140564186	3.04201930400724	0.0184983914259245	0.207042770304507	-3.25365913347734
17303504	Cadps	Ca2+-dependent secretion activator	ENSMUSG00000054423	1.9232098887133	5.89499749702511	4.9140252861979	0.00166206624195913	0.0840074923885088	-0.804823138974781
17425301	Abca1	ATP-binding cassette, sub-family A (ABC1), member 1	ENSMUSG00000015243	1.91867439296443	8.9660199327431	5.36064320834627	0.00100828673249867	0.0698947427119524	-0.301790579870049
17438246	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	ENSMUSG00000029231	1.91512360840248	6.2894258760533	2.69289498923662	0.0305796441599574	0.255468859929973	-3.75867158273378
17480675	P4ha3	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	ENSMUSG00000051048	1.9135979594454	7.340139104373	8.21141939320527	7.17756921071723e-05	0.0357538071104944	2.25125360477447
17354078	Ppp2r2b	protein phosphatase 2, regulatory subunit B, beta	ENSMUSG00000024500	1.88815563051414	7.47800441174534	4.25573213777092	0.00365632284446964	0.11074774212791	-1.60480501506482
17448712	Tec	tec protein tyrosine kinase	ENSMUSG00000029217	1.88355931570828	6.52178205642793	3.47681874399519	0.0101000475408464	0.163823083100191	-2.6399430853098
17377144	Slc24a3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	ENSMUSG00000063873	1.87097450344138	7.91074579504186	8.90040272421066	4.24050425532245e-05	0.0284373095369493	2.72844473361478
17353267	Gpr17	G protein-coupled receptor 17	ENSMUSG00000052229	1.86887909196762	6.19147603152788	10.4192306481654	1.48933453909995e-05	0.0212332884548577	3.63506228395839
17306098	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	ENSMUSG00000035896	1.86042416693867	6.27690657623198	4.71052691486769	0.00210652150097251	0.0913823322689739	-1.04460917726249
17487381	Apoe	apolipoprotein E	ENSMUSG00000002985	1.85021013163869	7.43055635242121	5.40431417504553	0.000961586785570417	0.0689612898018883	-0.2542856955769
17227616	Crb1	crumbs family member 1, photoreceptor morphogenesis associated	ENSMUSG00000063681	1.82946247812454	7.25316483522661	7.20107641221631	0.000166587314136892	0.0428802777492194	1.46283225313809
17448595	Gabra4	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4	ENSMUSG00000029211	1.80492021593607	6.011912132666	3.73191102976695	0.0071695111529913	0.14277504634233	-2.29095787957386
