Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Tet3	ENSMUST00000089622.5	tet methylcytosine dioxygenase 3 	1592	7	2	4	1	3	0	2	1	5	mmu-miR-29a-3p	-5.79	-5.93	> 0.99	2011
Col4a5	ENSMUST00000112931.2	collagen, type IV, alpha 5 	288	2	2	0	0	1	1	0	0	0	mmu-miR-29b-3p	-3.03	-3.52	> 0.99	2005, 2007, 2009, 2011
Glis2	ENSMUST00000014447.7	GLIS family zinc finger 2 	406	1	1	0	0	3	0	1	2	1	mmu-miR-29b-3p	-2.25	-2.27	0.81	2005, 2007, 2009, 2011
Unc13b	ENSMUST00000079978.7	unc-13 homolog B (C. elegans) 	533	2	1	1	0	0	0	0	0	0	mmu-miR-29b-3p	-1.56	-1.56	0.78	2005, 2007, 2009, 2011
Bach2	ENSMUST00000171600.1	BTB and CNC homology 2 	72	1	1	0	0	1	0	0	1	0	mmu-miR-29a-3p	-1.51	-1.55	0.92	2005, 2007, 2009, 2011
Nav2	ENSMUST00000184945.2	neuron navigator 2 	536	2	1	1	0	0	0	0	0	1	mmu-miR-29b-3p	-1.46	-1.65	0.81	2005, 2007, 2009, 2011
Atad2b	ENSMUST00000045664.5	ATPase family, AAA domain containing 2B 	253	3	3	0	0	0	0	0	0	0	mmu-miR-29a-3p	-1.35	-1.41	> 0.99	2009, 2011
Dpysl5	ENSMUST00000114729.2	dihydropyrimidinase-like 5 	364	1	1	0	0	1	0	0	1	1	mmu-miR-29a-3p	-1.31	-1.49	0.92	2009, 2011
Traf3	ENSMUST00000117269.2	TNF receptor-associated factor 3 	465	2	0	1	1	2	0	2	0	2	mmu-miR-29b-3p	-1.28	-1.73	> 0.99	2009, 2011
Rpl5	ENSMUST00000082223.7	ribosomal protein L5 	1500	1	1	0	0	0	0	0	0	2	mmu-miR-29b-3p	-1.27	-1.31	< 0.1	2011
Mybl2	ENSMUST00000018005.4	myeloblastosis oncogene-like 2 	1006	1	1	0	0	0	0	0	0	1	mmu-miR-29a-3p	-1.25	-1.25	0.92	2005, 2007, 2009, 2011
Rgs8	ENSMUST00000041776.6	regulator of G-protein signaling 8 	5	1	0	1	0	2	0	2	0	2	mmu-miR-29a-3p	-1.23	-1.23	0.82	2009, 2011
Adamts10	ENSMUST00000087623.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 	641	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-1.16	-1.17	0.78	2007, 2011
Tmc5	ENSMUST00000121715.2	transmembrane channel-like gene family 5 	36	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-1.15	-1.24	< 0.1	2005, 2007, 2009, 2011
Col6a2	ENSMUST00000001181.7	collagen, type VI, alpha 2 	2004	1	1	0	0	1	0	0	1	1	mmu-miR-29c-3p	-1.14	-1.59	0.16	2009, 2011
Tet2	ENSMUST00000098603.3	tet methylcytosine dioxygenase 2 	429	4	2	2	0	1	0	1	0	0	mmu-miR-29a-3p	-1.14	-1.14	> 0.99	2009, 2011
Col1a1	ENSMUST00000001547.7	collagen, type I, alpha 1 	8243	1	1	0	0	2	0	0	2	0	mmu-miR-29b-3p	-1.13	-1.17	0.90	2005, 2007
Eln	ENSMUST00000015138.9	elastin 	885	3	2	1	0	0	0	0	0	0	mmu-miR-29b-3p	-1.12	-1.12	> 0.99	2007, 2009, 2011
Smek2	ENSMUST00000020755.6	SMEK homolog 2, suppressor of mek1 (Dictyostelium) 	1618	1	0	1	0	2	0	1	1	1	mmu-miR-29a-3p	-1.12	-1.45	0.88	2005, 2009, 2011
Olfr701	ENSMUST00000075414.2	olfactory receptor 701 	7	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-1.08	-1.08	< 0.1	2009, 2011
Adamts17	ENSMUST00000107478.2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17 	23	2	1	1	0	1	0	0	1	4	mmu-miR-29b-3p	-1.05	-1.08	0.98	2007, 2009, 2011
Tmem236	ENSMUST00000077517.7	transmembrane protein 236 	14	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-1.05	-1.05	< 0.1	2009, 2011
Plag1	ENSMUST00000003369.4	pleiomorphic adenoma gene 1 	77	1	1	0	0	0	0	0	0	1	mmu-miR-29a-3p	-1.01	-1.14	0.92	2005, 2007
Entpd7	ENSMUST00000081079.5	ectonucleoside triphosphate diphosphohydrolase 7 	146	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.99	-0.99	0.92	2005, 2007, 2009, 2011
Arf5	ENSMUST00000020717.6	ADP-ribosylation factor 5 	3204	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.97	-0.97	0.21	2007
Otub2	ENSMUST00000179684.1	OTU domain, ubiquitin aldehyde binding 2 	41	1	1	0	0	0	0	0	0	1	mmu-miR-29b-3p	-0.92	-1.09	< 0.1	2007, 2009, 2011
Col3a1	ENSMUST00000087883.7	collagen, type III, alpha 1 	15234	2	1	0	1	0	0	0	0	1	mmu-miR-29b-3p	-0.91	-1.49	> 0.99	2005, 2007, 2009, 2011
Col5a3	ENSMUST00000004201.7	collagen, type V, alpha 3 	1478	3	1	2	0	1	0	1	0	0	mmu-miR-29a-3p	-0.91	-0.96	> 0.99	2005, 2007, 2009, 2011
Trib2	ENSMUST00000020922.7	tribbles homolog 2 (Drosophila) 	63	3	0	2	1	0	0	0	0	0	mmu-miR-29b-3p	-0.87	-1.49	> 0.99	2005, 2007, 2009, 2011
Ifi30	ENSMUST00000034299.5	interferon gamma inducible protein 30 	316	1	1	0	0	0	0	0	0	0	mmu-miR-29b-3p	-0.87	-0.94	0.63	2005, 2007, 2009, 2011
Eif4e2	ENSMUST00000113233.2	eukaryotic translation initiation factor 4E member 2 	2023	1	1	0	0	1	0	1	0	0	mmu-miR-29a-3p	-0.85	-0.98	0.75	2005, 2007, 2011
Foxn2	ENSMUST00000112238.3	forkhead box N2 	33	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.84	-0.92	< 0.1	2007, 2009, 2011
Syncrip	ENSMUST00000174391.2	synaptotagmin binding, cytoplasmic RNA interacting protein 	2608	2	0	2	0	0	0	0	0	0	mmu-miR-29a-3p	-0.82	-1.06	0.87	2009, 2011
Mga	ENSMUST00000079934.6	MAX gene associated 	1277	1	0	1	0	0	0	0	0	4	mmu-miR-29a-3p	-0.81	-1.14	0.87	2007, 2009, 2011
Tdg	ENSMUST00000151390.2	thymine DNA glycosylase 	15	2	1	1	0	1	0	1	0	1	mmu-miR-29a-3p	-0.81	-0.81	0.91	2005, 2007, 2009, 2011
Angptl4	ENSMUST00000002360.10	angiopoietin-like 4 	519	1	0	1	0	1	0	0	1	1	mmu-miR-29a-3p	-0.77	-0.77	0.58	2005, 2007, 2009, 2011
Zfp174	ENSMUST00000041778.7	zinc finger protein 174 	81	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.76	-0.91	< 0.1	2009, 2011
Adamts12	ENSMUST00000061318.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12 	155	4	3	1	0	0	0	0	0	2	mmu-miR-29a-3p	-0.76	-0.80	> 0.99	
Adamts9	ENSMUST00000113438.2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9 	198	2	1	0	1	0	0	0	0	0	mmu-miR-29b-3p	-0.75	-0.77	> 0.99	2005, 2007, 2009, 2011
Col11a1	ENSMUST00000092155.6	collagen, type XI, alpha 1 	54	2	0	2	0	0	0	0	0	0	mmu-miR-29a-3p	-0.75	-0.75	0.96	2005, 2007, 2009, 2011
Dusp2	ENSMUST00000028846.6	dual specificity phosphatase 2 	20	1	0	1	0	2	0	1	1	0	mmu-miR-29a-3p	-0.75	-0.75	0.77	2005, 2007, 2009, 2011
Nfia	ENSMUST00000092532.7	nuclear factor I/A 	153	3	1	2	0	0	0	0	0	1	mmu-miR-29b-3p	-0.74	-0.95	> 0.99	2005, 2007, 2009, 2011
Clk2	ENSMUST00000121212.3	CDC-like kinase 2 	1296	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.74	-0.74	0.87	2005, 2007, 2011
Nav3	ENSMUST00000032719.8	neuron navigator 3 	226	4	1	2	1	0	0	0	0	0	mmu-miR-29a-3p	-0.72	-0.74	> 0.99	2005, 2007, 2009, 2011
Lysmd1	ENSMUST00000066386.5	LysM, putative peptidoglycan-binding, domain containing 1 	7	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.72	-0.72	0.91	2007, 2011
Kcna2	ENSMUST00000038695.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	106	1	0	1	0	1	0	0	1	2	mmu-miR-29a-3p	-0.71	-0.76	0.49	
Kctd20	ENSMUST00000118762.2	potassium channel tetramerisation domain containing 20 	395	2	0	2	0	1	1	0	0	0	mmu-miR-29a-3p	-0.70	-0.71	0.94	2007, 2009, 2011
Trim37	ENSMUST00000041282.7	tripartite motif-containing 37 	395	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.69	-0.69	0.86	2005, 2007, 2009, 2011
Hrk	ENSMUST00000054836.6	harakiri, BCL2 interacting protein (contains only BH3 domain) 	5	2	1	1	0	1	0	1	0	0	mmu-miR-29a-3p	-0.69	-0.69	0.97	2009, 2011
Spns1	ENSMUST00000119754.2	spinster homolog 1 	446	1	1	0	0	0	0	0	0	1	mmu-miR-29b-3p	-0.69	-0.69	< 0.1	2007, 2009, 2011
Kif26b	ENSMUST00000160789.1	kinesin family member 26B 	26	1	1	0	0	1	0	1	0	1	mmu-miR-29a-3p	-0.68	-0.92	0.93	2007, 2011
Sparc	ENSMUST00000018737.7	secreted acidic cysteine rich glycoprotein 	4861	2	0	0	2	0	0	0	0	1	mmu-miR-29b-3p	-0.68	-0.74	> 0.99	2005, 2007, 2009, 2011
Hnf4g	ENSMUST00000017832.9	hepatocyte nuclear factor 4, gamma 	34	1	0	1	0	0	0	0	0	0	mmu-miR-29a-3p	-0.68	-0.68	0.86	2005, 2007, 2009, 2011
Eva1b	ENSMUST00000106152.2	eva-1 homolog B (C. elegans) 	1189	1	1	0	0	0	0	0	0	0	mmu-miR-29a-3p	-0.68	-0.69	< 0.1	2007, 2009, 2011
Col9a1	ENSMUST00000054588.9	collagen, type IX, alpha 1 	9	1	1	0	0	1	0	1	0	0	mmu-miR-29a-3p	-0.68	-0.68	0.51	2005, 2007, 2009, 2011
Ddx6	ENSMUST00000170489.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 	585	1	0	1	0	0	0	0	0	3	mmu-miR-29b-3p	-0.67	-0.71	0.63	2009, 2011
Rlf	ENSMUST00000168615.2	rearranged L-myc fusion sequence 	806	1	1	0	0	0	0	0	0	1	mmu-miR-29b-3p	-0.67	-0.77	0.93	2005, 2007, 2009, 2011
Adam19	ENSMUST00000011400.7	a disintegrin and metallopeptidase domain 19 (meltrin beta) 	1262	2	0	2	0	1	0	0	1	0	mmu-miR-29a-3p	-0.67	-0.67	0.90	2005, 2007, 2009, 2011
